Session campaign,Session source,Session medium,Session manual ad content,Total users,Engagement rate,Average session duration,Total users,Engagement rate,Average session duration
UCM - Brand Awareness - Anthem - Video - 2.1.2025 - 6.30.2025,google,cpc,(not set),143502,0.348461598,31.5376044,143502,0.348461598,31.5376044
UCM - Tony Awards - 6.5-6.9,google,cpc,(not set),138690,0.616673525,159.9647599,138690,0.616673525,159.9647599
UCM - Branded Keyword Campaign - 11.11.2024  - 6.30.2025,google,cpc,(not set),81533,0.774004715,452.9466245,81533,0.774004715,452.9466245
nvidia,google,cpc,(not set),33033,0.146511437,291.4313824,33033,0.146511437,291.4313824
UCM - Brand Awareness - Expert - Video - 2.1.2025-6.30.2025,google,cpc,(not set),20168,0.363660871,89.91636863,20168,0.363660871,89.91636863
UCM - AI Keyword Campaign - 2.6.2025 - 6.30.2025,google,cpc,(not set),20143,0.537521893,113.1066631,20143,0.537521893,113.1066631
UCM - Brand Awareness - Video - 1.14.2025 - 1.31.2025,google,cpc,(not set),19129,0.550996952,124.0802241,19129,0.550996952,124.0802241
dot,google,cpc,(not set),16877,0.159883872,63.91615057,16877,0.159883872,63.91615057
UCM - Podcast - S2 E1 - Healing Intelligence Pt. 1 - 4.1-5.1,google,cpc,(not set),15898,0.2668187,114.0433,15898,0.2668187,114.0433
podcast,google,cpc,ep8,15532,0.117688185,100.338203,15532,0.117688185,100.338203
aihorizons,google,cpc,(not set),14811,0.133871551,79.37641849,14811,0.133871551,79.37641849
podcast,google,cpc,ep12,14769,0.213735794,118.6223561,14769,0.213735794,118.6223561
wiwn,nyt,display,(not set),14707,0.244200013,426.7425969,14707,0.244200013,426.7425969
UCM - SXSW - 3.7.2025 - 3.14.2025,google,cpc,(not set),14295,0.485293261,117.4130205,14295,0.485293261,117.4130205
podcast,google,cpc,ep9,13822,0.151462881,74.54195264,13822,0.151462881,74.54195264
podcast,google,cpc,ep13,13644,0.220359523,76.27094594,13644,0.220359523,76.27094594
podcast,google,cpc,ep14,13135,0.221883022,81.54425459,13135,0.221883022,81.54425459
wiwn,social,video,anthem,12545,0.069327896,32.67676509,12545,0.069327896,32.67676509
podcast,google,cpc,ep10,12248,0.262990847,76.45402439,12248,0.262990847,76.45402439
podcast,google,cpc,ep15,11883,0.222213855,87.48404958,11883,0.222213855,87.48404958
UCM - Podcast - S2 E3 - What’s Next for Theater Arts - 4.29-5.29,google,cpc,(not set),9482,0.355349831,64.84974884,9482,0.355349831,64.84974884
UCM - NVIDIA Conference - 3.18.2025 - 3.22.2025,google,cpc,(not set),8337,0.518073516,128.8321725,8337,0.518073516,128.8321725
UCM - Podcast - S2 E6 - Game Theory Pt. 2 - 6.5-7.5,google,cpc,(not set),7393,0.425766,60.79849582,7393,0.425766,60.79849582
podcast,google,cpc,ep11,7027,0.128746864,45.17785558,7027,0.128746864,45.17785558
UCM - Podcast - S2 E7 -  Stress - 6.20-7.20,google,cpc,(not set),6851,0.253466146,62.23141456,6851,0.253466146,62.23141456
UCM - Podcast - S2 E5 - Game Theory Pt. 1 - 5.22 - 6.22,google,cpc,(not set),6334,0.374423811,104.4408952,6334,0.374423811,104.4408952
UCM - Podcast - S2 E2 - Healing Intelligence Pt. 2 - 4.10-5.10,google,cpc,(not set),5435,0.39556864,100.4903652,5435,0.39556864,100.4903652
podcast,google,cpc,ep7,5389,0.167014251,85.38027256,5389,0.167014251,85.38027256
UCM - Podcast Episode 11 - AI Care Part 1 - 8.26-9.26,google,cpc,(not set),4974,0.21524494,89.36694433,4974,0.21524494,89.36694433
UCM - Podcast Episode 11 - AI Care Part 1 - 8.26-9.26,google,cpc,ep11,4826,0.270806775,90.39306855,4826,0.270806775,90.39306855
wiwn,nyt,word,(not set),4098,0.211501901,87.35759824,4098,0.211501901,87.35759824
wiwn,spotify,audio,(not set),3894,0.583174452,412.1183716,3894,0.583174452,412.1183716
UCM - AI Horizon Campaign Video - 10.12-10.16,google,cpc,(not set),3443,0.369165488,101.8277133,3443,0.369165488,101.8277133
UCM - Podcast - S2 E4 - Deepseek -  5.9-6.9,google,cpc,(not set),3096,0.341074804,83.94121576,3096,0.341074804,83.94121576
wiwn,wired,display,(not set),2220,0.193781942,45.66673287,2220,0.193781942,45.66673287
podcast,insta,storykit,ep7,1835,0.06351706,16.23201468,1835,0.06351706,16.23201468
UCM - Podcast Episode 15 - Birth of AI 2 - 10.10-11.10,google,cpc,(not set),1821,0.314045239,122.0227411,1821,0.314045239,122.0227411
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,google,cpc,ep9,1778,0.302813299,54.42056745,1778,0.302813299,54.42056745
research-impact,spotify,audio,general_ble,1722,0.394144144,152.3558044,1722,0.394144144,152.3558044
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,google,cpc,ep10,1608,0.303738318,36.79745785,1608,0.303738318,36.79745785
wiwn,inc,display,(not set),1584,0.369081574,110.578553,1584,0.369081574,110.578553
research-impact,ig,video,general_cmu,1562,0.063938619,28.58052377,1562,0.063938619,28.58052377
UCM - DOT Conference (Bridges Video) - 8.15-8.30,google,cpc,(not set),1483,0.306618094,138.0247265,1483,0.306618094,138.0247265
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,google,cpc,(not set),1375,0.272222222,59.99880052,1375,0.272222222,59.99880052
UCM - DOT Conference (Vehicle Video) - 8.15-8.30,google,cpc,(not set),1342,0.313945803,56.59925162,1342,0.313945803,56.59925162
wiwn,spotify,video1x1,(not set),1336,0.643109541,269.3528513,1336,0.643109541,269.3528513
wiwn,spotify,video9x16,(not set),1330,0.675305976,271.3466538,1330,0.675305976,271.3466538
UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17,google,cpc,(not set),1318,0.261155816,94.09135792,1318,0.261155816,94.09135792
sxsw,instagram,video,6.7143E+12,1229,0.108974359,72.46882928,1229,0.108974359,72.46882928
sxsw,linkedin,video,(not set),1121,0.357085669,59.02396835,1121,0.357085669,59.02396835
sxsw,instagram,video,6.7143E+12,1116,0.10660793,46.44694858,1116,0.10660793,46.44694858
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,google,cpc,ep8,1080,0.491935484,75.02310325,1080,0.491935484,75.02310325
UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17,google,cpc,ep13,1032,0.348013817,71.97104283,1032,0.348013817,71.97104283
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,google,cpc,(not set),1012,0.325118483,125.5774797,1012,0.325118483,125.5774797
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,google,cpc,ep14,898,0.315996075,75.49393954,898,0.315996075,75.49393954
sxsw,instagram,video,6.7143E+12,881,0.086711712,62.65416617,881,0.086711712,62.65416617
UCM - Podcast Episode 15 - Birth of AI 2 - 10.10-11.10,google,cpc,ep15,818,0.307007786,51.67609439,818,0.307007786,51.67609439
UCM - Podcast Episode 12 - AI Care Part 2 - 9.17 - 10.17,google,cpc,ep12,795,0.333701657,104.4433913,795,0.333701657,104.4433913
UCM - DOT Conference (Display) - 8.15-8.30,google,cpc,(not set),707,0.344740177,55.62639835,707,0.344740177,55.62639835
wiwn,paramount,ott,(not set),701,0.510089686,172.0695852,701,0.510089686,172.0695852
(not set),(not set),(not set),(not set),686,0,265.2882888,686,0,265.2882888
UCM - Podcast Episode 12 - AI Care Part 2 - 9.17 - 10.17,google,cpc,(not set),576,0.283557047,79.80959716,576,0.283557047,79.80959716
nvidia,linkedin,video,(not set),556,0.249609984,124.5120508,556,0.249609984,124.5120508
wiwn,wired,social,(not set),480,0.165983607,35.08691846,480,0.165983607,35.08691846
wiwn,che,display,(not set),429,0.326923077,188.542376,429,0.326923077,188.542376
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,google,cpc,(not set),384,0.312655087,58.71704387,384,0.312655087,58.71704387
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,google,cpc,ep7,372,0.475369458,41.30846703,372,0.475369458,41.30846703
aihealth,che,email,(not set),255,0.45210728,17.52222165,255,0.45210728,17.52222165
research-impact,che,display,general_ble,247,0.1875,28.98576735,247,0.1875,28.98576735
logo,spotify,audio,(not set),160,0.71257485,286.0456841,160,0.71257485,286.0456841
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,google,cpc,(not set),144,0.288461538,24.89883011,144,0.288461538,24.89883011
research-impact,li,video,general_cmu,138,0.226950355,76.42130019,138,0.226950355,76.42130019
wiwn,che,email,(not set),134,0.436241611,698.5487676,134,0.436241611,698.5487676
ottctv,effectv,video,(not set),117,0.350746269,38.95524321,117,0.350746269,38.95524321
research-impact,email,2025-05-08Piper,(not set),108,0.668181818,395.6347066,108,0.668181818,395.6347066
UCM - Anthem Campaign (Awareness) - 12.20.2023 - 7.31.2024,google,cpc,(not set),86,0.7625,120.5212792,86,0.7625,120.5212792
aihealth,nyt,adpost,(not set),74,0.705882353,797.5799472,74,0.705882353,797.5799472
dot,gdn,display,(not set),73,0.506493506,126.9251107,73,0.506493506,126.9251107
research-impact,inc,display,general_ble,68,0.488888889,316.756353,68,0.488888889,316.756353
wiwn,nyt,print,(not set),60,0.580645161,175.9814457,60,0.580645161,175.9814457
nvidia,google,video,(not set),54,0.296296296,10.2301785,54,0.296296296,10.2301785
podcast,gdn,storykit,ep12,52,0.269230769,22.47384642,52,0.269230769,22.47384642
aihorizons,gdn,display,(not set),50,0.06,3.48656798,50,0.06,3.48656798
wiwn,che,evfcybl,(not set),50,0.28,12.66044002,50,0.28,12.66044002
podcast,gdn,storykit,ep15,43,0.139534884,15.07223719,43,0.139534884,15.07223719
podcast,gdn,storykit,ep14,42,0.095238095,7.877323524,42,0.095238095,7.877323524
wiwn,che,newsletter,health,42,0.422222222,78.53255993,42,0.422222222,78.53255993
podcast,gdn,storykit,ep13,35,0.2,15.55024231,35,0.2,15.55024231
wiwn,che,print,(not set),34,0.460674157,487.2817852,34,0.460674157,487.2817852
ottctv,effectv,video,kathleencarley,31,0.424242424,175.359064,31,0.424242424,175.359064
podcast,google,cpc,ep6,24,0.192307692,10.51766112,24,0.192307692,10.51766112
podcast,gdn,storykit,ep10,23,0.652173913,39.86994178,23,0.652173913,39.86994178
podcast,gdn,storykit,ep11,23,0.47826087,35.27749217,23,0.47826087,35.27749217
wiwn,inc,print,arm,22,0.466666667,135.0379862,22,0.466666667,135.0379862
aihorizons,gdn,video,(not set),21,0.19047619,8.597571143,21,0.19047619,8.597571143
dot,gdn,video,(not set),21,0.571428571,31.24837567,21,0.571428571,31.24837567
sxsw,instagram,video,(not set),20,0.9,26.2417328,20,0.9,26.2417328
podcast,gdn,storykit,ep8,18,0.421052632,39.72046247,18,0.421052632,39.72046247
ottctv,effectv,video,rkrishnan,16,0.25,751.6062932,16,0.25,751.6062932
podcast,gdn,storykit,ep9,16,0.3125,8.527089813,16,0.3125,8.527089813
sxsw,instagram,video,6.7143E+12,15,0.066666667,4.9943426,15,0.066666667,4.9943426
Send Update with Logo,sendupdatelogo,email,(not set),14,0.266666667,36.22654893,14,0.266666667,36.22654893
sxsw,instagram,video,6.7143E+12,13,0.076923077,4.208828462,13,0.076923077,4.208828462
podcast,gdn,storykit,ep7,12,0.416666667,23.76815633,12,0.416666667,23.76815633
wiwn,chr,print,health,11,0.416666667,177.2313788,11,0.416666667,177.2313788
podcast,print,inc,incprint,10,0.692307692,648.8418143,10,0.692307692,648.8418143
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,google,cpc,ep5,9,0.666666667,148.7204064,9,0.666666667,148.7204064
wiwn,pghmag,print,(not set),8,0.727272727,194.5004121,8,0.727272727,194.5004121
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,google,cpc,ep6,7,0.375,16.13129675,7,0.375,16.13129675
wiwn,che,email,email,7,0.428571429,1251.373728,7,0.428571429,1251.373728
sxsw,google,cpc,rayidghanirt,6,0.666666667,24.48859133,6,0.666666667,24.48859133
wiwn,che,afjfyfggfe,ufbygu,6,0.333333333,11.088189,6,0.333333333,11.088189
(referral),open.spotify.com,referral,(not set),5,0.7,692.4102868,5,0.7,692.4102868
bridges,google,cpc,eptwo,5,0.333333333,15.36054783,5,0.333333333,15.36054783
podcast,google,cpc,ep4,5,0,5.0366836,5,0,5.0366836
podcast,linkedin,storykit,ep7,5,0.2,4.7780448,5,0.2,4.7780448
podpromo,che,display,epthree,5,0.285714286,6.926492857,5,0.285714286,6.926492857
sxsw,instagram,video,6.7143E+12,5,0,1.4405424,5,0,1.4405424
Wiwn,Che,Podcast,Epfive,4,0.8,306.9834114,4,0.8,306.9834114
wiwn,cheb,display,(not set),4,0.75,440.2295695,4,0.75,440.2295695
polybag,che,print,polybag,3,0.2,5.5608252,3,0.2,5.5608252
sxsw,google,cpc,anthemrt,3,1,49.76420467,3,1,49.76420467
sxsw,google,cpc,rayidghani,2,1,34.4611,2,1,34.4611
(referral),spotify.lightning.force.com,referral,(not set),1,1,1283.654384,1,1,1283.654384
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,google,cpc,eptwo,1,0.5,7.9367375,1,0.5,7.9367375
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,google,cpc,ep4,1,0,4.699558,1,0,4.699558
podcast,google,cpc,ep5,1,1,13.982859,1,1,13.982859
podpromo,che,newsletter,mic,1,0,8.324967,1,0,8.324967
research-impact,bs,post,adrai_ob1,1,1,1526.735692,1,1,1526.735692
research-impact,piper,email,general_cmu,1,1,808.7955418,1,1,808.7955418
sxsw,eltoro,expert,rayidghani,1,0,5.393174,1,0,5.393174
sxsw,gdn,video,rayidghani,1,1,1640.61351,1,1,1640.61351
sxsw,google,cpc,anthem,1,0,2.230113,1,0,2.230113
wiwn,che,fullpage,fullpage,1,1,1689.836267,1,1,1689.836267
wiwn,che,podpromo,(not set),1,0.5,97.336147,1,0.5,97.336147
wiwn,chea,display,(not set),1,0,4.858491,1,0,4.858491
wiwn,spotify,video,(not set),1,0,2.254184,1,0,2.254184
