Campaign,Campaign type,Campaign start date,Campaign end date,Audience segment,Audience segment type,Clicks,Impr.,CTR,TrueView view rate
UCM - Podcast Episode 15 - Birth of AI 2 - 10.10-11.10,Video,10-Oct-24,10-Nov-24,People not in audiences,People not in audience segments,"23,687","405,122",5.85%,16.70%
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,19-Jul-24,19-Aug-24,People not in audiences,People not in audience segments,"21,828","875,986",2.49%,5.80%
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,Video,4-Oct-24,4-Nov-24,People not in audiences,People not in audience segments,"21,131","348,852",6.06%,19.92%
UCM - Podcast Episode 12 - AI Care Part 2 - 9.17 - 10.17,Video,17-Sep-24,17-Oct-24,People not in audiences,People not in audience segments,"20,566","386,048",5.33%,17.51%
UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17,Video,17-Sep-24,17-Oct-24,People not in audiences,People not in audience segments,"19,007","389,208",4.88%,13.90%
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,Video,2-Aug-24,2-Sep-24,People not in audiences,People not in audience segments,"18,423","405,098",4.55%,14.97%
UCM - DOT Conference (Vehicle Video) - 8.15-8.30,Video,15-Aug-24,31-Aug-24,People not in audiences,People not in audience segments,"10,817","190,163",5.69%,14.91%
UCM - AI Horizon Campaign Video - 10.12-10.16,Video,12-Oct-24,16-Oct-24,Lifestyles & Hobbies › Business Professionals,Affinity segment,"10,733","550,214",1.95%,1.72%
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,Video,27-Jun-24,27-Jul-24,People not in audiences,People not in audience segments,"10,060","420,833",2.39%,8.14%
UCM - Podcast Episode 11 - AI Care Part 1 - 8.26-9.26,Video,26-Aug-24,26-Sep-24,Business Services › Business Technology › Network Systems & Services › Hosted Data & Cloud Storage,In-market segment,"9,500","114,190",8.32%,20.13%
UCM - AI Horizon Campaign Video - 10.12-10.16,Video,12-Oct-24,16-Oct-24,People not in audiences,People not in audience segments,"9,009","510,288",1.77%,1.42%
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,Video,27-Jun-24,27-Jul-24,Technology,Affinity segment,"8,514","576,728",1.48%,2.56%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,11-Jun-24,7-Jul-24,People not in audiences,People not in audience segments,"8,433","372,393",2.26%,8.96%
UCM - DOT Conference (Bridges Video) - 8.15-8.30,Video,15-Aug-24,31-Aug-24,Technology,Affinity segment,"8,099","480,759",1.68%,0.65%
UCM - Branded Keyword Campaign - 11.11.2024  - 6.30.2025,Search,11-Nov-24,30-Jun-25,People not in audiences,People not in audience segments,"7,350","72,450",10.14%,0
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,11-Jun-24,7-Jul-24,Technology,Affinity segment,"6,922","409,264",1.69%,2.20%
UCM - Podcast Episode 11 - AI Care Part 1 - 8.26-9.26,Video,26-Aug-24,26-Sep-24,Technology,Affinity segment,"5,502","242,317",2.27%,2.83%
UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17,Video,17-Sep-24,17-Oct-24,Technology,Affinity segment,"4,249","198,936",2.14%,4.11%
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,Video,27-Jun-24,27-Jul-24,Education,In-market segment,"3,408","264,473",1.29%,2.22%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,11-Jun-24,7-Jul-24,AI in CMU,Custom segment,"3,022","155,034",1.95%,4.30%
UCM - Branded Keyword Campaign - 11.11.2024  - 6.30.2025,Search,11-Nov-24,30-Jun-25,Education,In-market segment,"2,940","21,480",13.69%,0
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,23-May-24,23-Jun-24,Business Services › Business Technology,In-market segment,"2,922","176,643",1.65%,3.68%
