Campaign status,Campaign,Budget name,Budget type,Currency code,Status,Status reasons,Campaign type,Conversions,Impr.,TrueView views,CTR,Engagement rate,Engagements,TrueView view rate (In-stream),TrueView view rate (In-feed),TrueView view rate (Shorts),Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%,YouTube public views,Earned subscribers,Earned views,Gmail clicks to website,Avg. impr. freq. / user,Unique users,Optimization score,Avg. impr. freq. / user (7 days),Bid strategy type,Viewable CTR,Viewable impr.,Clicks,Avg. CPC,Cost / conv.
Removed,UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024, --,Campaign Total,USD,Removed,campaign removed; campaign ended; unknown,Video,"5,184.00","298,153","17,128",1.92%,13.85%,"41,161",12.09%,0.03%,1.18%,29.01%,11.76%,8.08%,6.25%,0,0,0,0,,, --,,Maximize Conversions, --,"165,359","5,729",0.09,0.1
Enabled,UCM - Podcast - S2 E1 - Healing Intelligence Pt. 1 - 4.1-5.1, --,Campaign Total,USD,Ended,campaign ended; All ads paused; most ads disapproved,Demand Gen,"28,280.67","1,313,452","32,770",3.43%,5.93%,"72,922",18.09%,0.51%,1.39%,33.65%,17.51%,12.11%,9.35%,0,0,0,0,,, --,,Maximize clicks, --,"748,546","45,053",0.11,0.17
Removed,UCM - Podcast Episode 12 - AI Care Part 2 - 9.17 - 10.17, --,Campaign Total,USD,Removed,campaign removed; campaign ended; unknown,Video,"24,281.89","535,462","83,434",4.66%,27.25%,"143,787",20.52%,1.84%,1.27%,49.55%,20.65%,15.36%,12.55%,0,0,0,0,,, --,,Maximize Conversions, --,"404,478","24,964",0.08,0.08
Enabled,UCM - NVIDIA Conference - 3.18.2025 - 3.22.2025, --,Campaign Total,USD,Ended,campaign ended; unknown,Demand Gen,"39,453.01","3,331,201","12,016",2.13%,3.45%,"114,784",11.07%,0.02%,1.38%,41.60%,17.29%,9.94%,7.63%,0,0,0,0,,, --,,Maximize clicks, --,"1,896,745","71,061",0.17,0.3
Removed,UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2, --,Campaign Total,USD,Removed,campaign removed; campaign ended; unknown,Video,"20,421.00","574,962","73,967",3.99%,22.62%,"128,324",18.47%,0.51%,1.50%,51.39%,23.35%,17.43%,14.28%,0,0,0,0,,, --,,Maximize Conversions, --,"476,776","22,932",0.09,0.1
Enabled,UCM - Podcast - S2 E5 - Game Theory Pt. 1 - 5.22 - 6.22, --,Campaign Total,USD,Ended,campaign ended; unknown,Demand Gen,"24,041.58","1,822,717","17,838",2.12%,3.98%,"72,532",10.87%,0.01%,0.83%,31.50%,13.48%,9.61%,7.79%,0,0,0,0,,, --,,Maximize clicks, --,"926,617","38,689",0.13,0.21
Enabled,UCM - Podcast - S2 E2 - Healing Intelligence Pt. 2 - 4.10-5.10, --,Campaign Total,USD,Ended,campaign ended; unknown,Demand Gen,"26,366.75","1,636,202","31,359",2.57%,6.48%,"105,991",10.44%,0.01%,1.17%,28.06%,11.15%,7.68%,5.98%,0,0,0,0,,, --,,Maximize clicks, --,"922,920","42,118",0.12,0.19
Enabled,UCM - DOT Conference (Display) - 8.15-8.30, --,Daily,USD,Ended,campaign ended; unknown,Display,679,"1,185,774",0,0.08%, --,0, --, --, --,79.57%,65.37%,54.45%,40.74%,0,0,0,0,,, --,,Viewable CPM,0.10%,"889,535",893,3.28,4.31
Paused,UCM - Podcast Episode 15 - Birth of AI 2 - 10.10-11.10 #2, --,Campaign Total,USD,Paused,campaign paused; unknown,Demand Gen,0,0,0, --, --,0, --, --, --, --, --, --, --,0,0,0,0,,, --,,Maximize Conversions, --,0,0,0,0
Paused,UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2 #2, --,Campaign Total,USD,Paused,campaign paused; unknown,Demand Gen,0,0,0, --, --,0, --, --, --, --, --, --, --,0,0,0,0,,, --,,Maximize Conversions, --,0,0,0,0
