Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Campaign type,Conversions,Impr.,TrueView views,Cost,CTR,Engagement rate,Engagements,TrueView view rate (In-stream),TrueView view rate (In-feed),TrueView view rate (Shorts),Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%,YouTube public views,Earned subscribers,Earned views,Gmail clicks to website,Avg. impr. freq. / user,Unique users,Optimization score,Avg. impr. freq. / user (7 days),Bid strategy type,Viewable CTR,Viewable impr.,Clicks,Avg. CPC,Cost / conv.
Paused,UCM - Tony Awards - 6.5-6.9,100.00, --,Daily,USD,Paused,campaign paused; unknown,Display,"83,130.24","4,976,531",399,8786.26,2.09%,63.03%,399,63.03%, --, --,62.49%,44.34%,33.59%,28.11%,0,0,0,0,,, --,,Maximize Conversions,2.65%,"3,773,177","104,162",0.08,0.11
Paused,UCM - Work That Matters Awareness - Video - 7.18-9.30 [PAUSED],40000.00, --,Campaign Total,USD,Paused,campaign paused; campaign ended; unknown,Demand Gen,"27,963.55","2,212,766","99,258",5934.20,2.49%,11.23%,"248,541",9.53%,0.02%,2.76%,30.01%,12.26%,8.49%,6.59%,0,0,0,0,,, --,,Maximize clicks, --,"1,639,688","55,046",0.11,0.21
Enabled,UCM - Podcast - S2 E15 - Guiding a Safe Future for AI Pt 2 - 10.23 - 11.15,5000.00, --,Campaign Total,USD,Ended,campaign ended; unknown,Demand Gen,49.29,"929,350","17,565",4999.42,4.21%,5.74%,"53,319",10.66%,1.63%,1.03%,33.65%,13.96%,9.28%,7.24%,"28,398",0,0,0,,, --,,Maximize clicks, --,"327,057","39,116",0.13,101.42
Enabled,UCM - Podcast - S2 E10 - Rubin Observatory - 8.14-9.14,5000.00, --,Campaign Total,USD,Ended,campaign ended; unknown,Demand Gen,"1,630.93","842,021","49,844",4991.68,1.77%,11.10%,"93,449",25.41%,0.64%,2.84%,50.40%,31.26%,26.09%,23.24%,0,0,0,0,,, --,,Target CPA, --,"518,435","14,864",0.34,3.06
Enabled,UCM - Podcast - S2 E9 - Sound Pt. 1 -  7.31-8.31,5000.00, --,Campaign Total,USD,Ended,campaign ended; unknown,Demand Gen,439.37,"349,206","15,000",3711.64,1.53%,9.71%,"33,921",21.32%,0.05%,0.73%,48.93%,27.78%,22.91%,20.11%,0,0,0,0,,, --,,Target CPA, --,"249,941","5,332",0.70,8.45
Enabled,UCM - Work That Matters Awareness - Display - 7.8-9.30,178.00, --,Daily,USD,Ended,campaign ended; unknown,Display,753.00,"183,269","1,221",15108.46,0.50%,59.71%,"1,353",63.02%,1.13%, --,81.73%,74.34%,59.74%,52.82%,0,0,0,0,,, --,,Target CPA,0.52%,"110,034",915,16.51,20.06
Paused,UCM - AI Horizons Display & Video - 9.11.25 - 9.14.25,2500.00, --,Daily,USD,Paused,campaign paused; campaign ended; unknown,Display,"1,038.00","129,638",0,10380.00,1.06%, --,0, --, --, --,44.53%,34.55%,25.79%,17.52%,0,0,0,0,,, --,,Target CPA,1.39%,"88,564","1,369",7.58,10.00
Enabled,UCM - Podcast - S2 E6 - Game Theory Pt. 2 - 6.5-7.5,5000.00, --,Campaign Total,USD,Ended,campaign ended; unknown,Demand Gen,"5,819.15","256,870","25,424",823.52,3.38%,24.12%,"61,963",10.04%,0.06%,0.37%,34.24%,13.73%,9.31%,7.24%,0,0,0,0,,, --,,Maximize clicks, --,"233,636","8,674",0.09,0.14
Enabled,UCM - Podcast - S2 E7 -  Stress - 6.20-7.20,5000.00, --,Campaign Total,USD,Ended,campaign ended; unknown,Demand Gen,"16,507.43","788,362","156,491",3259.88,3.87%,36.10%,"267,755",21.59%,7.61%,1.16%,42.40%,25.85%,20.63%,17.47%,0,0,0,0,,, --,,Maximize clicks, --,"658,491","30,549",0.11,0.20
Enabled,UCM - Demand Gen - WTM - Huaiyiang - 12.15.2025 - 12.25.2025,1000.00, --,Daily,USD,Ended,campaign ended; some ads limited by policy,Demand Gen,"56,401.00","1,896,329","188,459",10979.46,3.38%,16.27%,"254,767",57.08%,1.42%,1.00%,55.91%,41.07%,35.18%,31.44%,"261,059",0,0,0,,, --,,Maximize Conversions, --,"1,212,155","64,110",0.17,0.19
