Start Date (in UTC),Account Name,Currency,Campaign Group ID,Campaign Group Name,Campaign Group Status,Campaign Group Start Date,Campaign Group End Date,Campaign ID,Campaign Name,Campaign Objective,Campaign Type,Campaign Status,Cost Type,Campaign Start Date,Campaign End Date,Creative Name,Ad ID,Creative Status,Ad Introduction Text,Ad Headline,Ad Line,Click URL,Sponsored Update Type,DSC Name,Video Length (in Seconds),Carousel Card,Impressions,Clicks,Click Through Rate,Average CPM,Average CPC,Card Impressions,Card Clicks,Card Click Through Rate,Reactions,Comments,Shares,Follows,Other Clicks,Total Social Actions,Total Engagements,Engagement Rate,Viral Impressions,Viral Clicks,Viral Reactions,Viral Comments,Viral Shares,Viral Follows,Viral Other Clicks,Conversions,Post-Click Conversions,View-Through Conversions,Conversion Rate,Cost per Conversion,Total Conversion Value,Return on Ad Spend,Viral Conversions,Viral Post-Click Conversions,Viral View-Through Conversions,Leads,Lead Forms Opened,Lead Form Completion Rate,Cost per Lead,Video Plays,Video Views,Video View Rate,Video Views at 25%,Video Views at 50%,Video Views at 75%,Video Completions,Video Completion Rate,Total Video Watch Time (in Seconds),Average Video Watch Time (in Seconds),Full Screen Plays,eCPV,Viral Video Plays,Viral Video Views,Viral Video Views at 25%,Viral Video Views at 50%,Viral Video Views at 75%,Viral Video Completions,Viral Video Completion Rate,Viral Video Full Screen Plays,Event Registrations,Click Event Registrations,View Event Registrations,Viral Event Registrations,Viral Click Event Registrations,Viral View Event Registrations,Clicks to Landing Page,Clicks to LinkedIn Page,Leads (Work Email),Lead Form Completion Rate (Work Email),Cost Per Lead (Work Email),Member Follows,Clicks to Member Profile,Qualified Leads,Cost Per Qualified Lead,Average Dwell Time (in Seconds),Subscriptions,Viral Subscriptions
2/1/25,Carnegie Mellon University,USD,730335114,UCM - LinkedIn - Video - 2.6.2025 - 6.30.2025,Paused,2/6/25,6/30/25,354730584,Video - Expert,Brand awareness,Sponsored Update,Completed,CPM,2/6/25,6/30/25,Ramayya Krishnan,575888664,Active,"At Carnegie Mellon, 'What if' drives innovation—advancing AI, design & tech to shape a better future. Explore how you can be part of what's next.",Where What If Becomes What's Next,,https://www.cmu.edu/work-that-matters/?utm_campaign=research-impact&utm_source=li&utm_medium=video&utm_content=general_cmu&utm_term=0,DSC,Ramayya Krishnan,30,,955402,224,0.02%,1.92,8.19,,,,2,0,0,0,23,25,229,0.02%,2,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,1024232,531856,55.67%,623203,537777,466453,391820,41.01%,0,0,156,0,2,1,0,0,0,0,0%,0,0,0,0,0,0,0,191,4,0,0%,0,0,0,0,0,19.00309185,0,0
3/1/25,Carnegie Mellon University,USD,730335114,UCM - LinkedIn - Video - 2.6.2025 - 6.30.2025,Paused,2/6/25,6/30/25,354730584,Video - Expert,Brand awareness,Sponsored Update,Completed,CPM,2/6/25,6/30/25,Ramayya Krishnan,575888664,Active,"At Carnegie Mellon, 'What if' drives innovation—advancing AI, design & tech to shape a better future. Explore how you can be part of what's next.",Where What If Becomes What's Next,,https://www.cmu.edu/work-that-matters/?utm_campaign=research-impact&utm_source=li&utm_medium=video&utm_content=general_cmu&utm_term=0,DSC,Ramayya Krishnan,30,,94106,177,0.19%,15.15,8.06,,,,12,0,0,0,127,139,195,0.21%,11,1,0,0,0,0,1,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,102393,28556,30.35%,19306,15369,13204,10677,11.35%,0,0,32,0.05,11,3,1,1,1,1,9.09%,0,0,0,0,0,0,0,17,11,0,0%,0,0,0,0,0,3.189566463,0,0
4/1/25,Carnegie Mellon University,USD,730335114,UCM - LinkedIn - Video - 2.6.2025 - 6.30.2025,Paused,2/6/25,6/30/25,354730584,Video - Expert,Brand awareness,Sponsored Update,Completed,CPM,2/6/25,6/30/25,Ramayya Krishnan,575888664,Active,"At Carnegie Mellon, 'What if' drives innovation—advancing AI, design & tech to shape a better future. Explore how you can be part of what's next.",Where What If Becomes What's Next,,https://www.cmu.edu/work-that-matters/?utm_campaign=research-impact&utm_source=li&utm_medium=video&utm_content=general_cmu&utm_term=0,DSC,Ramayya Krishnan,30,,63160,142,0.23%,16.69,7.42,,,,5,0,1,0,102,108,156,0.25%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,73082,15392,24.37%,2830,1103,666,523,0.83%,0,0,24,0.07,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,13,11,0,0%,0,0,0,0,0,3.377891555,0,0
5/1/25,Carnegie Mellon University,USD,730335114,UCM - LinkedIn - Video - 2.6.2025 - 6.30.2025,Paused,2/6/25,6/30/25,354730584,Video - Expert,Brand awareness,Sponsored Update,Completed,CPM,2/6/25,6/30/25,Ramayya Krishnan,575888664,Active,"At Carnegie Mellon, 'What if' drives innovation—advancing AI, design & tech to shape a better future. Explore how you can be part of what's next.",Where What If Becomes What's Next,,https://www.cmu.edu/work-that-matters/?utm_campaign=research-impact&utm_source=li&utm_medium=video&utm_content=general_cmu&utm_term=0,DSC,Ramayya Krishnan,30,,53382,130,0.24%,17.34,7.12,,,,12,0,0,0,109,121,156,0.29%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,64684,13311,24.94%,2470,977,594,464,0.87%,0,0,13,0.07,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,13,9,0,0%,0,0,0,0,0,3.609436706,0,0
6/1/25,Carnegie Mellon University,USD,730335114,UCM - LinkedIn - Video - 2.6.2025 - 6.30.2025,Paused,2/6/25,6/30/25,354730584,Video - Expert,Brand awareness,Sponsored Update,Completed,CPM,2/6/25,6/30/25,Ramayya Krishnan,575888664,Active,"At Carnegie Mellon, 'What if' drives innovation—advancing AI, design & tech to shape a better future. Explore how you can be part of what's next.",Where What If Becomes What's Next,,https://www.cmu.edu/work-that-matters/?utm_campaign=research-impact&utm_source=li&utm_medium=video&utm_content=general_cmu&utm_term=0,DSC,Ramayya Krishnan,30,,46494,92,0.20%,21,10.61,,,,5,0,0,0,77,82,108,0.23%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,56223,11795,25.37%,2223,897,594,484,1.04%,0,0,11,0.08,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,11,4,0,0%,0,0,0,0,0,3.736257912,0,0
2/1/25,Carnegie Mellon University,USD,730335114,UCM - LinkedIn - Video - 2.6.2025 - 6.30.2025,Paused,2/6/25,6/30/25,354730584,Video - Expert,Brand awareness,Sponsored Update,Completed,CPM,2/6/25,6/30/25,Melanie Gainey,575907664,Active,"At Carnegie Mellon, 'What if' drives innovation—advancing AI, design & tech to shape a better future. Explore how you can be part of what's next.",Where What If Becomes What's Next,,https://www.cmu.edu/work-that-matters/?utm_campaign=research-impact&utm_source=li&utm_medium=video&utm_content=general_cmu&utm_term=0,DSC,Melanie Gainey,30,,965406,233,0.02%,1.87,7.73,,,,2,0,0,0,40,42,238,0.03%,1,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,1060456,524797,54.36%,613350,525102,459031,393950,40.81%,0,0,47,0,1,1,1,1,1,1,100%,0,0,0,0,0,0,0,181,6,0,0%,0,0,0,0,0,17.87345221,0,0
3/1/25,Carnegie Mellon University,USD,730335114,UCM - LinkedIn - Video - 2.6.2025 - 6.30.2025,Paused,2/6/25,6/30/25,354730584,Video - Expert,Brand awareness,Sponsored Update,Completed,CPM,2/6/25,6/30/25,Melanie Gainey,575907664,Active,"At Carnegie Mellon, 'What if' drives innovation—advancing AI, design & tech to shape a better future. Explore how you can be part of what's next.",Where What If Becomes What's Next,,https://www.cmu.edu/work-that-matters/?utm_campaign=research-impact&utm_source=li&utm_medium=video&utm_content=general_cmu&utm_term=0,DSC,Melanie Gainey,30,,108771,273,0.25%,18.27,7.28,,,,17,0,0,0,196,213,288,0.27%,11,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,119797,27460,25.25%,8156,4712,3547,2706,2.49%,0,0,35,0.07,11,2,0,0,0,0,0%,0,0,0,0,0,0,0,21,19,0,0%,0,0,0,0,0,2.76558812,0,0
4/1/25,Carnegie Mellon University,USD,730335114,UCM - LinkedIn - Video - 2.6.2025 - 6.30.2025,Paused,2/6/25,6/30/25,354730584,Video - Expert,Brand awareness,Sponsored Update,Completed,CPM,2/6/25,6/30/25,Melanie Gainey,575907664,Active,"At Carnegie Mellon, 'What if' drives innovation—advancing AI, design & tech to shape a better future. Explore how you can be part of what's next.",Where What If Becomes What's Next,,https://www.cmu.edu/work-that-matters/?utm_campaign=research-impact&utm_source=li&utm_medium=video&utm_content=general_cmu&utm_term=0,DSC,Melanie Gainey,30,,177836,520,0.29%,18.11,6.19,,,,26,0,0,0,369,395,551,0.31%,1,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,196685,42609,23.96%,7619,2530,1514,1111,0.63%,0,0,47,0.08,1,1,0,0,0,0,0%,0,0,0,0,0,0,0,52,57,0,0%,0,0,0,0,0,3.061753196,0,0
5/1/25,Carnegie Mellon University,USD,730335114,UCM - LinkedIn - Video - 2.6.2025 - 6.30.2025,Paused,2/6/25,6/30/25,354730584,Video - Expert,Brand awareness,Sponsored Update,Completed,CPM,2/6/25,6/30/25,Melanie Gainey,575907664,Active,"At Carnegie Mellon, 'What if' drives innovation—advancing AI, design & tech to shape a better future. Explore how you can be part of what's next.",Where What If Becomes What's Next,,https://www.cmu.edu/work-that-matters/?utm_campaign=research-impact&utm_source=li&utm_medium=video&utm_content=general_cmu&utm_term=0,DSC,Melanie Gainey,30,,273317,813,0.30%,17.42,5.85,,,,52,1,0,0,570,623,850,0.31%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,295120,60996,22.32%,10126,3200,1779,1243,0.46%,0,0,75,0.08,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,81,71,0,0%,0,0,0,0,0,2.702048358,0,0
6/1/25,Carnegie Mellon University,USD,730335114,UCM - LinkedIn - Video - 2.6.2025 - 6.30.2025,Paused,2/6/25,6/30/25,354730584,Video - Expert,Brand awareness,Sponsored Update,Completed,CPM,2/6/25,6/30/25,Melanie Gainey,575907664,Active,"At Carnegie Mellon, 'What if' drives innovation—advancing AI, design & tech to shape a better future. Explore how you can be part of what's next.",Where What If Becomes What's Next,,https://www.cmu.edu/work-that-matters/?utm_campaign=research-impact&utm_source=li&utm_medium=video&utm_content=general_cmu&utm_term=0,DSC,Melanie Gainey,30,,27420,93,0.34%,19.06,5.62,,,,5,0,0,0,74,79,101,0.37%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,29509,5969,21.77%,975,314,191,136,0.50%,0,0,6,0.09,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,7,9,0,0%,0,0,0,0,0,2.68515505,0,0
