Period,Name,THEME,CMU Due Date,Run Dates - Start,Run Dates - End,Run Dates,Status,Tactic/Category,Campaign Group,Budget,Spend,Vendor,Person,Notes,Call to Action,Creative Submitted,Landing Page (UTM),Quarter (For Charts)
Q1 - Jul-Sep 2024,Tony Awards Promo - FY2024 overlap into FY2025,"Jun | Arts & Excellence, Pride",6/10/2024,6/10/2024,7/8/2024,2024-06-10 - 2024-07-08,COMPLETED,Display & Search,"Brand Awareness, Event Marketing",,,Google,,this is from 2024 Tonys that ran into July 2024 (new FY),CMU News,,,Q1
Q1 - Jul-Sep 2024,Podcast Promo - Episode 7 Cosmos (overlap from FY24),CMU | General Brand,6/11/2024,6/11/2024,7/11/2024,2024-06-11 - 2024-07-11,COMPLETED,Video,Podcast,,,Google,,this podcast promo overlapped Jun & Jul 2024 (new FY),Podcast Episode,,,Q1
Q1 - Jul-Sep 2024,Podcast Promo - LinkedIn - Episode 7 Cosmos,CMU | General Brand,6/17/2024,6/17/2024,7/2/2024,2024-06-17 - 2024-07-02,COMPLETED,Social,Podcast,,,LinkedIn,Jimmy Zackal,Campaign paused on 7/2 by Varun & Angela,Podcast Episode,https://www.youtube.com/watch?v=VGAPqrlGszM&list=PL1HxVG_mcukvqcDi8YnbbR6Ay8FkOYn1-&index=6,https://ai.cmu.edu/podcast/all-episodes/episode-7-stellar-observations-ais-journey-into-the-cosmos-0?utm_source=linkedin&utm_medium=storykit&utm_campaign=podcast&utm_content=ep7,Q1
Q1 - Jul-Sep 2024,Podcast Promo - Insta- Episode 7 Cosmos,CMU | General Brand,6/24/2024,6/24/2024,7/24/2024,2024-06-24 - 2024-07-24,COMPLETED,Social,Podcast,,,Meta,Jimmy Zackal,,Podcast Episode,https://www.youtube.com/watch?v=VGAPqrlGszM&list=PL1HxVG_mcukvqcDi8YnbbR6Ay8FkOYn1-&index=6,https://ai.cmu.edu/podcast/all-episodes/episode-7-stellar-observations-ais-journey-into-the-cosmos-0?utm_source=insta&utm_medium=storykit&utm_campaign=podcast&utm_content=ep7,Q1
Q1 - Jul-Sep 2024,Podcast Promo - Episode 8 Disaster Relief,CMU | General Brand,6/25/2024,6/27/2024,7/27/2024,2024-06-27 - 2024-07-27,COMPLETED,Video,Podcast,,,Google,Jimmy Zackal,,Podcast Episode,https://www.youtube.com/watch?v=ahh2V37NBWE&list=PL1HxVG_mcukvqcDi8YnbbR6Ay8FkOYn1-&index=6&pp=gAQBiAQB,https://ai.cmu.edu/podcast/all-episodes/episode-8-robots-to-the-rescue-ai-revolutionizes-disaster-response?utm_source=gdn&utm_medium=storykit&utm_campaign=podcast&utm_content=ep8,Q1
Q1 - Jul-Sep 2024,UCM Anthem Campaign,CMU | General Brand,6/30/2024,7/1/2024,7/31/2024,2024-07-01 - 2024-07-31,COMPLETED,Video,Brand Awareness,,,Google,Jimmy Zackal,Updated 8.1. Data /spend for July only.,CMU Website,https://www.youtube.com/watch?v=DuVU1tVl9Ec&list=PL1HxVG_mcukvIiPL7Z1HLK5eeRwuqgp2M&index=5,,Q1
Q1 - Jul-Sep 2024,Podcast Promo - Episode 9 Agriculture,CMU | General Brand,7/19/2024,7/19/2024,8/19/2024,2024-07-19 - 2024-08-19,COMPLETED,Video,Podcast,,,Google,Jimmy Zackal,,Podcast Episode,https://www.youtube.com/watch?v=AE8uuLjY5bc&list=PL1HxVG_mcukvqcDi8YnbbR6Ay8FkOYn1-&index=7&pp=gAQBiAQB,Episode 9: AI and Agriculture: How to Pick an Apple - https://ai.cmu.edu/podcast/all-episodes/episode-9-ai-and-agriculture-how-to-pick-an-apple?utm_source=gdn&utm_medium=storykit&utm_campaign=podcast&utm_content=ep9,Q1
Q1 - Jul-Sep 2024,Podcast Promo - Episode 10 Autonomous Vehicles,CMU | General Brand,8/2/2024,8/2/2024,9/2/2024,2024-08-02 - 2024-09-02,COMPLETED,Video,Podcast,,,Google,Jimmy Zackal,,Podcast Episode,https://www.youtube.com/watch?v=8X0Y2nF4yFE&list=PL1HxVG_mcukvqcDi8YnbbR6Ay8FkOYn1-&index=8,https://ai.cmu.edu/podcast/all-episodes/episode-10-driven-whats-next-for-autonomous-vehicles?utm_source=gdn&utm_medium=storykit&utm_campaign=podcast&utm_content=ep10,Q1
Q1 - Jul-Sep 2024,DOT Conference - Display,CMU | General Brand,8/15/2024,8/15/2024,8/31/2024,2024-08-15 - 2024-08-31,COMPLETED,Display & Search,"Event Marketing, Brand Awareness",,,Google,Jimmy Zackal,,CMU News,"https://carnegiemellon.monday.com/protected_static/2364823/resources/1702254719/1200%20x%20628.png, https://carnegiemellon.monday.com/protected_static/2364823/resources/1702254757/1x1.png, https://carnegiemellon.monday.com/protected_static/2364823/resources/1702254760/900%20x%201600%20px.png",https://www.cmu.edu/news/stories/archives/2024/january/secretary-of-transportation-buttigieg-emphasizes-safety-during-cmu-visit?utm_source=gdn&utm_medium=display&utm_campaign=dot,Q1
Q1 - Jul-Sep 2024,DOT Conference - Bridge Video,CMU | General Brand,8/15/2024,8/15/2024,8/31/2024,2024-08-15 - 2024-08-31,COMPLETED,Video,"Event Marketing, Brand Awareness",,,Google,Jimmy Zackal,,Podcast Episode,https://www.youtube.com/watch?v=4MR4Xuop7co&list=PL1HxVG_mcukvqcDi8YnbbR6Ay8FkOYn1-&index=1,https://ai.cmu.edu/podcast/all-episodes/episode-2-strengthening-americas-bridges-with-ai?utm_source=gdn&utm_medium=video&utm_campaign=dot,Q1
