Session campaign,Segment,Total users_Day0,Total users_Day1,Total users_Day2,Total users_Day3,Total users_Day4,Total users_Day5,Total users_Day6,Total users_Day7,Total users_Day8,Total users_Day9,Total users_Day10,Total users_Day11,Total users_Day12,Total users_Day13,Total users_Day14,Total users_Day15,Total users_Day16,Total users_Day17,Total users_Day18,Total users_Day19,Total users_Day20,Total users_Day21,Total users_Day22,Total users_Day23,Total users_Day24,Total users_Day25,Total users_Day26,Total users_Day27,Total users_Day28,Total users_Day29,Total users_Day30,Total users_Day31,Total users_Day32,Total users_Day33,Total users_Day34,Total users_Day35,Total users_Day36,Total users_Day37,Total users_Day38,Total users_Day39,Total users_Day40,Total users_Day41,Total users_Day42,Total users_Day43,Total users_Day44,Total users_Day45,Total users_Day46,Total users_Day47,Total users_Day48,Total users_Day49,Total users_Day50,Total users_Day51,Total users_Day52,Total users_Day53,Total users_Day54,Total users_Day55,Total users_Day56,Total users_Day57,Total users_Day58,Total users_Day59,Total users_Day60,Total users_Day61,Total users_Day62,Total users_Day63,Total users_Day64,Total users_Day65,Total users_Day66,Total users_Day67,Total users_Day68,Total users_Day69,Total users_Day70,Total users_Day71,Total users_Day72,Total users_Day73,Total users_Day74,Total users_Day75,Total users_Day76,Total users_Day77,Total users_Day78,Total users_Day79,Total users_Day80,Total users_Day81,Total users_Day82,Total users_Day83,Total users_Day84,Total users_Day85,Total users_Day86,Total users_Day87,Total users_Day88,Total users_Day89,Total users_Day90,Total users_Day91,Total users_Day92,Total users_Day93,Total users_Day94,Total users_Day95,Total users_Day96,Total users_Day97,Total users_Day98,Total users_Day99,Total users_Day100,Total users_Day101,Total users_Day102,Total users_Day103,Total users_Day104,Total users_Day105,Total users_Day106,Total users_Day107,Total users_Day108,Total users_Day109,Total users_Day110,Total users_Day111,Total users_Day112,Total users_Day113,Total users_Day114,Total users_Day115,Total users_Day116,Total users_Day117,Total users_Day118,Total users_Day119,Total users_Day120,Total users_Day121,Total users_Day122,Total users_Day123,Total users_Day124,Total users_Day125,Total users_Day126,Total users_Day127,Total users_Day128,Total users_Day129,Total users_Day130,Total users_Day131,Total users_Day132,Total users_Day133,Total users_Day134,Total users_Day135,Total users_Day136,Total users_Day137,Total users_Day138,Total users_Day139,Total users_Day140,Total users_Day141,Total users_Day142,Total users_Day143,Total users_Day144,Total users_Day145,Total users_Day146,Total users_Day147,Total users_Day148,Total users_Day149,Total users_Day150,Total users_Day151,Total users_Day152,Total users_Day153,Total users_Day154,Total users_Day155,Total users_Day156,Total users_Day157,Total users_Day158,Total users_Day159,Total users_Day160,Total users_Day161,Total users_Day162,Total users_Day163,Total users_Day164,Total users_Day165,Total users_Day166,Total users_Day167,Total users_Day168,Total users_Day169,Total users_Day170,Total users_Day171,Total users_Day172,Total users_Day173,Total users_Day174,Total users_Day175,Total users_Day176,Total users_Day177,Total users_Day178,Total users_Day179,Total users_Day180,Total users_Day181,Total users_Day182,Total users_Day183,Total users_Day184,Total users_Day185,Total users_Day186,Total users_Day187,Total users_Day188,Total users_Day189,Total users_Day190,Total users_Day191,Total users_Day192,Total users_Day193,Total users_Day194,Total users_Day195,Total users_Day196,Total users_Day197,Total users_Day198,Total users_Day199,Total users_Day200,Total users_Day201,Total users_Day202,Total users_Day203,Total users_Day204,Total users_Day205,Total users_Day206,Total users_Day207,Total users_Day208,Total users_Day209,Total users_Day210,Total users_Day211,Total users_Day212,Total users_Day213,Total users_Day214,Total users_Day215,Total users_Day216,Total users_Day217,Total users_Day218,Total users_Day219,Total users_Day220,Total users_Day221,Total users_Day222,Total users_Day223,Total users_Day224,Total users_Day225,Total users_Day226,Total users_Day227,Total users_Day228,Total users_Day229,Total users_Day230,Total users_Day231,Total users_Day232,Total users_Day233,Total users_Day234,Total users_Day235,Total users_Day236,Total users_Day237,Total users_Day238,Total users_Day239,Total users_Day240,Total users_Day241,Total users_Day242,Total users_Day243,Total users_Day244,Total users_Day245,Total users_Day246,Total users_Day247,Total users_Day248,Total users_Day249,Total users_Day250,Total users_Day251,Total users_Day252,Total users_Day253,Total users_Day254,Total users_Day255,Total users_Day256,Total users_Day257,Total users_Day258,Total users_Day259,Total users_Day260,Total users_Day261,Total users_Day262,Total users_Day263,Total users_Day264,Total users_Day265,Total users_Day266,Total users_Day267,Total users_Day268,Total users_Day269,Total users_Day270,Total users_Day271,Total users_Day272,Total users_Day273,Total users_Day274,Total users_Day275,Total users_Day276,Total users_Day277,Total users_Day278,Total users_Day279,Total users_Day280,Total users_Day281,Total users_Day282,Total users_Day283,Total users_Day284,Total users_Day285,Total users_Day286,Total users_Day287,Total users_Day288,Total users_Day289,Total users_Day290,Total users_Day291,Total users_Day292,Total users_Day293,Total users_Day294,Total users_Day295,Total users_Day296,Total users_Day297,Total users_Day298,Total users_Day299,Total users_Day300,Total users_Day301,Total users_Day302,Total users_Day303,Total users_Day304,Total users_Day305,Total users_Day306,Total users_Day307,Total users_Day308,Total users_Day309,Total users_Day310,Total users_Day311,Total users_Day312,Total users_Day313,Total users_Day314,Total users_Day315,Total users_Day316,Total users_Day317,Total users_Day318,Total users_Day319,Total users_Day320,Total users_Day321,Total users_Day322,Total users_Day323,Total users_Day324,Total users_Day325,Total users_Day326,Total users_Day327,Total users_Day328,Total users_Day329,Total users_Day330,Total users_Day331,Total users_Day332,Total users_Day333,Total users_Day334,Total users_Day335,Total users_Day336,Total users_Day337,Total users_Day338,Total users_Day339,Total users_Day340,Total users_Day341,Total users_Day342,Total users_Day343,Total users_Day344,Total users_Day345,Total users_Day346,Total users_Day347,Total users_Day348,Total users_Day349,Total users_Day350,Total users_Day351,Total users_Day352,Total users_Day353,Total users_Day354,Total users_Day355,Total users_Day356,Total users_Day357,Total users_Day358,Total users_Day359,Total users_Day360,Total users_Day361,Total users_Day362,Total users_Day363,Total users_Day364
UCM - Brand Awareness - Anthem - Video - 2.1.2025 - 6.30.2025,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,240,78,90,90,30,72,42,60,42,42,42,18,12,12,30,60,36,84,234,144,36,0,6,6,0,0,0,6,0,60,1146,2171,336,78,78,90,72,24,72,48,114,54,54,36,48,54,66,54,54,90,42,18,30,84,96,132,198,144,126,96,84,60,54,102,150,78,126,96,120,60,42,84,72,120,60,96,60,114,138,156,480,594,750,810,894,156,114,318,264,774,4229,5387,4301,3479,2519,1931,2033,1991,1710,1506,1176,2075,2783,1949,1686,2219,2573,2591,2507,2405,2405,2339,2591,2567,2081,2003,2537,2411,1512,2585,2435,1979,2423,2315,2525,1092,540,156,156,1632,2201,2453,2141,2189,2327,2297,2489,2273,2639,870,1182,2711,2321,2309,2315,2093,2225,2633,1632
UCM - Tony Awards - 6.5-6.9,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,6214,7594,8464,7864,6970,6532,6172,5776,5519,5758,5213,4985,5932,6226,4943,5039,5021,3461,5159,4823,4745,5345,4583,4517,5003
podcast,Strategy Campaigns FY25,1362,1302,1158,1092,1386,1686,1566,774,678,648,738,762,948,786,750,720,810,762,918,1368,1068,840,1050,948,1038,1080,1032,480,396,390,618,654,600,936,768,768,696,762,510,948,840,858,114,594,1218,1140,804,876,924,606,162,492,240,474,528,486,510,678,582,474,426,834,648,504,198,216,276,306,318,318,240,186,186,120,108,264,312,378,720,642,1110,948,1230,1410,1362,1482,1158,1068,1086,900,972,1104,1212,1020,1002,1116,1338,1128,1392,1380,1452,1608,1961,1668,1913,1872,1824,1482,1512,858,972,924,828,810,786,840,864,996,1092,912,576,24,42,1062,1350,1344,1026,606,606,534,504,570,702,42,18,18,0,12,6,6,6,0,12,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6,12,0,0,6,0,6,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,0,0,6,0,0,6,6,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0,6,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCM - Branded Keyword Campaign - 11.11.2024  - 6.30.2025,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,174,264,234,270,354,408,420,582,600,522,612,624,540,630,642,558,618,582,552,684,618,774,672,648,630,558,876,858,816,798,702,762,756,624,726,624,684,702,306,78,36,54,84,36,24,24,18,36,30,12,18,48,42,12,18,42,36,30,12,42,24,18,18,714,894,828,732,714,792,804,918,918,756,708,768,684,894,672,612,618,744,654,594,834,522,390,510,348,402,408,456,504,558,504,420,654,444,546,546,510,582,612,564,384,480,480,492,570,420,408,456,540,510,492,594,546,444,528,540,618,534,504,714,552,426,684,552,606,504,564,468,576,462,420,474,504,588,408,534,522,630,564,492,486,402,450,486,426,510,540,396,384,414,462,510,438,462,390,444,330,480,426,474,414,414,384,390,492,378,468,456,396,342,270,414,378,348,318,336,402,468,402,426,384,420,342,222,216,240,180,228,204,174,168,168,156,174,252,222,228,162,168,180,216,174,186,126,150,168,228,240,192,174,186,150,186,216,216,204,180,126,210,186,300,288,294,330,372,318,384,408
wiwn,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,396,66,42,0,0,0,30,66,72,48,42,60,42,720,66,108,48,42,66,132,66,36,90,78,36,72,78,78,132,48,84,96,66,78,84,24,42,6,6,0,6,12,6,48,6,0,18,6,12,0,0,12,6,0,12,186,18,12,12,24,24,30,6,12,6,12,30,36,18,18,6,24,18,18,18,186,24,42,36,12,12,6,42,24,30,24,18,42,12,24,6,48,54,30,6,24,18,30,54,54,24,36,24,54,24,30,12,36,30,30,78,60,3767,114,72,60,126,66,66,48,60,42,42,30,48,60,24,72,204,174,168,144,216,84,144,108,168,156,252,186,204,174,312,324,192,270,282,222,264,240,234,258,276,390,402,372,396,396,390,318,432,444,396,318,462,378,432,450,354,288,342,510,444,384,378,402,360,348,408,360,426,336,186,180,192,132,234,168,240,228,228,354,198,288,402,474,648,468,444,492,540,540,480,564,564,582,462,504,468,390,468,480,540,654,624,558,384,378,240,288,210,318,258,234,276,288,192,276,162,180,138,126,186,42,24,18,0,12,6,6,0,6,6,0,6,0,0,0,12,6,0,0,6,0,6,0,0,6,0,6,12,6,6,6,12,12,18,0,6,12,0,0,6,12,24,6,0,6,6
nvidia,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4283,6520,7384,7426,8392,744,246,150,120,90,42,48,48,54,30,6,6,48,18,6,18,6,12,6,6,0,12,6,0,6,0,12,6,0,0,6,0,0,0,6,0,6,6,0,6,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
UCM - AI Keyword Campaign - 2.6.2025 - 6.30.2025,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,414,372,600,660,396,162,180,162,198,210,132,186,198,276,276,240,282,276,288,306,294,288,246,270,228,252,198,318,282,216,228,282,330,120,162,138,84,132,168,228,258,288,240,288,252,288,300,204,228,240,216,294,228,204,228,204,186,234,192,300,162,210,144,174,222,216,156,222,150,126,228,210,156,216,216,180,186,174,150,156,228,204,162,204,168,186,234,198,210,252,138,18,6,6,6,6,6,6,0,0,0,6,12,0,0,0,0,0,0,12,6,0,0,0,6,0,0,0,6,6,6,0,12,0,0,0,0,6,6,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0
UCM - Brand Awareness - Expert - Video - 2.1.2025-6.30.2025,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,678,1404,486,384,264,258,228,162,198,666,570,330,240,84,84,48,30,18,12,24,24,18,18,0,24,12,18,354,312,276,18,0,36,24,42,6,36,6,24,12,6,6,30,36,78,18,6,18,12,36,24,6,24,18,6,6,30,6,12,30,12,84,78,36,12,18,12,18,18,12,0,42,90,66,24,24,30,48,138,18,12,24,30,54,24,36,42,240,120,54,24,24,48,24,54,66,48,36,48,72,72,336,756,990,582,990,954,354,366,492,372,234,222,234,324,324,198,222,126,108,162,156,36,60,72,42,18,36,54,48,84,90,48,30,42,42,42,36,6,18,18,36,204,24,36,96,534,444,102
UCM - Brand Awareness - Video - 1.14.2025 - 1.31.2025,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,174,630,342,270,528,168,90,72,90,114,174,576,1824,3161,5692,4037,1026,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dot,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,1530,1410,588,1296,1086,1260,1098,924,1326,1212,1254,1032,984,894,966,1182,72,18,42,12,12,6,0,6,0,6,0,0,0,6,12,6,6,0,0,0,0,0,0,0,6,0,6,0,6,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
