Session campaign,Session source,Session medium,Session manual ad content,Total users,Engagement rate,Average session duration,Total users,Engagement rate,Average session duration
UCM - Brand Awareness - Anthem - Video - 2.1.2025 - 6.30.2025,google,cpc,(not set),143502,0.3484615977521319,31.53760440380344,143502,0.3484615977521319,31.53760440380344
UCM - Tony Awards - 6.5-6.9,google,cpc,(not set),138690,0.6166735245907169,159.96475992792438,138690,0.6166735245907169,159.96475992792438
UCM - Branded Keyword Campaign - 11.11.2024  - 6.30.2025,google,cpc,(not set),81533,0.774004714624977,452.9466245058407,81533,0.774004714624977,452.9466245058407
nvidia,google,cpc,(not set),33033,0.14651143723866525,291.43138236888853,33033,0.14651143723866525,291.43138236888853
UCM - Brand Awareness - Expert - Video - 2.1.2025-6.30.2025,google,cpc,(not set),20168,0.36366087073729614,89.91636863229546,20168,0.36366087073729614,89.91636863229546
UCM - AI Keyword Campaign - 2.6.2025 - 6.30.2025,google,cpc,(not set),20143,0.5375218933848296,113.10666308070238,20143,0.5375218933848296,113.10666308070238
UCM - Brand Awareness - Video - 1.14.2025 - 1.31.2025,google,cpc,(not set),19129,0.5509969516765779,124.08022405067211,19129,0.5509969516765779,124.08022405067211
dot,google,cpc,(not set),16877,0.15988387163668413,63.91615057431696,16877,0.15988387163668413,63.91615057431696
UCM - Podcast - S2 E1 - Healing Intelligence Pt. 1 - 4.1-5.1,google,cpc,(not set),15898,0.2668187001140251,114.0433000104333,15898,0.2668187001140251,114.0433000104333
podcast,google,cpc,ep8,15532,0.11768818457236076,100.33820298456071,15532,0.11768818457236076,100.33820298456071
aihorizons,google,cpc,(not set),14811,0.13387155078925173,79.37641848680563,14811,0.13387155078925173,79.37641848680563
podcast,google,cpc,ep12,14769,0.2137357937186851,118.6223560853599,14769,0.2137357937186851,118.6223560853599
wiwn,nyt,display,(not set),14707,0.2442000126430242,426.74259686250707,14707,0.2442000126430242,426.74259686250707
UCM - SXSW - 3.7.2025 - 3.14.2025,google,cpc,(not set),14295,0.4852932611101404,117.41302048407012,14295,0.4852932611101404,117.41302048407012
podcast,google,cpc,ep9,13822,0.15146288064751542,74.54195264320308,13822,0.15146288064751542,74.54195264320308
podcast,google,cpc,ep13,13644,0.2203595233286205,76.27094593725172,13644,0.2203595233286205,76.27094593725172
podcast,google,cpc,ep14,13135,0.2218830222715604,81.54425458842711,13135,0.2218830222715604,81.54425458842711
wiwn,social,video,anthem,12545,0.06932789585130578,32.67676509269861,12545,0.06932789585130578,32.67676509269861
podcast,google,cpc,ep10,12248,0.2629908473575435,76.45402438551815,12248,0.2629908473575435,76.45402438551815
podcast,google,cpc,ep15,11883,0.22221385542168676,87.48404957996986,11883,0.22221385542168676,87.48404957996986
UCM - Podcast - S2 E3 - What’s Next for Theater Arts - 4.29-5.29,google,cpc,(not set),9482,0.3553498308705715,64.8497488350543,9482,0.3553498308705715,64.8497488350543
UCM - NVIDIA Conference - 3.18.2025 - 3.22.2025,google,cpc,(not set),8337,0.5180735159352408,128.83217246054372,8337,0.5180735159352408,128.83217246054372
UCM - Podcast - S2 E6 - Game Theory Pt. 2 - 6.5-7.5,google,cpc,(not set),7393,0.4257660002366024,60.798495822903114,7393,0.4257660002366024,60.798495822903114
podcast,google,cpc,ep11,7027,0.12874686385844447,45.17785557506933,7027,0.12874686385844447,45.17785557506933
UCM - Podcast - S2 E7 -  Stress - 6.20-7.20,google,cpc,(not set),6851,0.25346614618387403,62.23141456037152,6851,0.25346614618387403,62.23141456037152
UCM - Podcast - S2 E5 - Game Theory Pt. 1 - 5.22 - 6.22,google,cpc,(not set),6334,0.37442381140524167,104.44089521664691,6334,0.37442381140524167,104.44089521664691
UCM - Podcast - S2 E2 - Healing Intelligence Pt. 2 - 4.10-5.10,google,cpc,(not set),5435,0.39556863960334676,100.49036519011466,5435,0.39556863960334676,100.49036519011466
podcast,google,cpc,ep7,5389,0.16701425095585679,85.38027256134862,5389,0.16701425095585679,85.38027256134862
UCM - Podcast Episode 11 - AI Care Part 1 - 8.26-9.26,google,cpc,(not set),4974,0.21524494041989786,89.36694433005485,4974,0.21524494041989786,89.36694433005485
UCM - Podcast Episode 11 - AI Care Part 1 - 8.26-9.26,google,cpc,ep11,4826,0.2708067747222728,90.39306854725915,4826,0.2708067747222728,90.39306854725915
wiwn,nyt,word,(not set),4098,0.2115019011406844,87.35759823859316,4098,0.2115019011406844,87.35759823859316
wiwn,spotify,audio,(not set),3894,0.5831744518589133,412.1183715555291,3894,0.5831744518589133,412.1183715555291
UCM - AI Horizon Campaign Video - 10.12-10.16,google,cpc,(not set),3443,0.36916548797736914,101.82771328972183,3443,0.36916548797736914,101.82771328972183
UCM - Podcast - S2 E4 - Deepseek -  5.9-6.9,google,cpc,(not set),3096,0.34107480421280045,83.94121575614366,3096,0.34107480421280045,83.94121575614366
wiwn,wired,display,(not set),2220,0.19378194207836458,45.66673286839864,2220,0.19378194207836458,45.66673286839864
podcast,insta,storykit,ep7,1835,0.06351706036745407,16.232014677165356,1835,0.06351706036745407,16.232014677165356
UCM - Podcast Episode 15 - Birth of AI 2 - 10.10-11.10,google,cpc,(not set),1821,0.3140452393477117,122.02274106522881,1821,0.3140452393477117,122.02274106522881
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,google,cpc,ep9,1778,0.3028132992327366,54.42056745421995,1778,0.3028132992327366,54.42056745421995
research-impact,spotify,audio,general_ble,1722,0.39414414414414417,152.35580440822073,1722,0.39414414414414417,152.35580440822073
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,google,cpc,ep10,1608,0.3037383177570093,36.797457851051405,1608,0.3037383177570093,36.797457851051405
wiwn,inc,display,(not set),1584,0.3690815744438106,110.57855301026811,1584,0.3690815744438106,110.57855301026811
research-impact,ig,video,general_cmu,1562,0.0639386189258312,28.58052376790281,1562,0.0639386189258312,28.58052376790281
UCM - DOT Conference (Bridges Video) - 8.15-8.30,google,cpc,(not set),1483,0.3066180935033394,138.02472652337585,1483,0.3066180935033394,138.02472652337585
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,google,cpc,(not set),1375,0.2722222222222222,59.99880052430555,1375,0.2722222222222222,59.99880052430555
UCM - DOT Conference (Vehicle Video) - 8.15-8.30,google,cpc,(not set),1342,0.3139458030403173,56.59925162458691,1342,0.3139458030403173,56.59925162458691
wiwn,spotify,video1x1,(not set),1336,0.6431095406360424,269.35285134699643,1336,0.6431095406360424,269.35285134699643
wiwn,spotify,video9x16,(not set),1330,0.6753059755219583,271.3466538149748,1330,0.6753059755219583,271.3466538149748
UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17,google,cpc,(not set),1318,0.26115581565471835,94.09135791880028,1318,0.26115581565471835,94.09135791880028
sxsw,instagram,video,6714297876535,1229,0.10897435897435898,72.46882928044872,1229,0.10897435897435898,72.46882928044872
sxsw,linkedin,video,(not set),1121,0.35708566853482787,59.023968346677336,1121,0.35708566853482787,59.023968346677336
sxsw,instagram,video,6714297876735,1116,0.1066079295154185,46.446948577973565,1116,0.1066079295154185,46.446948577973565
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,google,cpc,ep8,1080,0.49193548387096775,75.02310325179212,1080,0.49193548387096775,75.02310325179212
UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17,google,cpc,ep13,1032,0.348013816925734,71.97104283333333,1032,0.348013816925734,71.97104283333333
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,google,cpc,(not set),1012,0.3251184834123223,125.5774797127962,1012,0.3251184834123223,125.5774797127962
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,google,cpc,ep14,898,0.31599607458292445,75.49393953974484,898,0.31599607458292445,75.49393953974484
sxsw,instagram,video,6714297877335,881,0.08671171171171171,62.65416616666667,881,0.08671171171171171,62.65416616666667
UCM - Podcast Episode 15 - Birth of AI 2 - 10.10-11.10,google,cpc,ep15,818,0.30700778642936594,51.67609439043381,818,0.30700778642936594,51.67609439043381
UCM - Podcast Episode 12 - AI Care Part 2 - 9.17 - 10.17,google,cpc,ep12,795,0.33370165745856356,104.44339129392264,795,0.33370165745856356,104.44339129392264
UCM - DOT Conference (Display) - 8.15-8.30,google,cpc,(not set),707,0.34474017743979724,55.62639834980989,707,0.34474017743979724,55.62639834980989
wiwn,paramount,ott,(not set),701,0.5100896860986547,172.0695851939462,701,0.5100896860986547,172.0695851939462
(not set),(not set),(not set),(not set),686,0,265.2882887553957,686,0,265.2882887553957
UCM - Podcast Episode 12 - AI Care Part 2 - 9.17 - 10.17,google,cpc,(not set),576,0.2835570469798658,79.80959715939598,576,0.2835570469798658,79.80959715939598
nvidia,linkedin,video,(not set),556,0.24960998439937598,124.51205084867395,556,0.24960998439937598,124.51205084867395
wiwn,wired,social,(not set),480,0.16598360655737704,35.08691845901639,480,0.16598360655737704,35.08691845901639
wiwn,che,display,(not set),429,0.3269230769230769,188.5423760405983,429,0.3269230769230769,188.5423760405983
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,google,cpc,(not set),384,0.31265508684863524,58.71704386848636,384,0.31265508684863524,58.71704386848636
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,google,cpc,ep7,372,0.4753694581280788,41.308467029556645,372,0.4753694581280788,41.308467029556645
aihealth,che,email,(not set),255,0.4521072796934866,17.522221647509575,255,0.4521072796934866,17.522221647509575
research-impact,che,display,general_ble,247,0.1875,28.9857673515625,247,0.1875,28.9857673515625
logo,spotify,audio,(not set),160,0.7125748502994012,286.0456840598803,160,0.7125748502994012,286.0456840598803
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,google,cpc,(not set),144,0.28846153846153844,24.89883010897436,144,0.28846153846153844,24.89883010897436
research-impact,li,video,general_cmu,138,0.22695035460992907,76.42130019148937,138,0.22695035460992907,76.42130019148937
wiwn,che,email,(not set),134,0.436241610738255,698.5487675704699,134,0.436241610738255,698.5487675704699
ottctv,effectv,video,(not set),117,0.35074626865671643,38.955243208955224,117,0.35074626865671643,38.955243208955224
research-impact,email,2025-05-08Piper,(not set),108,0.6681818181818182,395.63470662272726,108,0.6681818181818182,395.63470662272726
UCM - Anthem Campaign (Awareness) - 12.20.2023 - 7.31.2024,google,cpc,(not set),86,0.7625,120.52127924375,86,0.7625,120.52127924375
aihealth,nyt,adpost,(not set),74,0.7058823529411765,797.5799471617647,74,0.7058823529411765,797.5799471617647
dot,gdn,display,(not set),73,0.5064935064935064,126.92511072727272,73,0.5064935064935064,126.92511072727272
