Session campaign,Segment,Total users_Day0,Total users_Day1,Total users_Day2,Total users_Day3,Total users_Day4,Total users_Day5,Total users_Day6,Total users_Day7,Total users_Day8,Total users_Day9,Total users_Day10,Total users_Day11,Total users_Day12,Total users_Day13,Total users_Day14,Total users_Day15,Total users_Day16,Total users_Day17,Total users_Day18,Total users_Day19,Total users_Day20,Total users_Day21,Total users_Day22,Total users_Day23,Total users_Day24,Total users_Day25,Total users_Day26,Total users_Day27,Total users_Day28,Total users_Day29,Total users_Day30,Total users_Day31,Total users_Day32,Total users_Day33,Total users_Day34,Total users_Day35,Total users_Day36,Total users_Day37,Total users_Day38,Total users_Day39,Total users_Day40,Total users_Day41,Total users_Day42,Total users_Day43,Total users_Day44,Total users_Day45,Total users_Day46,Total users_Day47,Total users_Day48,Total users_Day49,Total users_Day50,Total users_Day51,Total users_Day52,Total users_Day53,Total users_Day54,Total users_Day55,Total users_Day56,Total users_Day57,Total users_Day58,Total users_Day59,Total users_Day60,Total users_Day61,Total users_Day62,Total users_Day63,Total users_Day64,Total users_Day65,Total users_Day66,Total users_Day67,Total users_Day68,Total users_Day69,Total users_Day70,Total users_Day71,Total users_Day72,Total users_Day73,Total users_Day74,Total users_Day75,Total users_Day76,Total users_Day77,Total users_Day78,Total users_Day79,Total users_Day80,Total users_Day81,Total users_Day82,Total users_Day83,Total users_Day84,Total users_Day85,Total users_Day86,Total users_Day87,Total users_Day88,Total users_Day89,Total users_Day90,Total users_Day91,Total users_Day92,Total users_Day93,Total users_Day94,Total users_Day95,Total users_Day96,Total users_Day97,Total users_Day98,Total users_Day99,Total users_Day100,Total users_Day101,Total users_Day102,Total users_Day103,Total users_Day104,Total users_Day105,Total users_Day106,Total users_Day107,Total users_Day108,Total users_Day109,Total users_Day110,Total users_Day111,Total users_Day112,Total users_Day113,Total users_Day114,Total users_Day115,Total users_Day116,Total users_Day117,Total users_Day118,Total users_Day119,Total users_Day120,Total users_Day121,Total users_Day122,Total users_Day123,Total users_Day124,Total users_Day125,Total users_Day126,Total users_Day127,Total users_Day128,Total users_Day129,Total users_Day130,Total users_Day131,Total users_Day132,Total users_Day133,Total users_Day134,Total users_Day135,Total users_Day136,Total users_Day137,Total users_Day138,Total users_Day139,Total users_Day140,Total users_Day141,Total users_Day142,Total users_Day143,Total users_Day144,Total users_Day145,Total users_Day146,Total users_Day147,Total users_Day148,Total users_Day149,Total users_Day150,Total users_Day151,Total users_Day152,Total users_Day153,Total users_Day154,Total users_Day155,Total users_Day156,Total users_Day157,Total users_Day158,Total users_Day159,Total users_Day160,Total users_Day161,Total users_Day162,Total users_Day163,Total users_Day164,Total users_Day165,Total users_Day166,Total users_Day167,Total users_Day168,Total users_Day169,Total users_Day170,Total users_Day171,Total users_Day172,Total users_Day173,Total users_Day174,Total users_Day175,Total users_Day176,Total users_Day177,Total users_Day178,Total users_Day179,Total users_Day180,Total users_Day181,Total users_Day182,Total users_Day183
UCM - Work That Matters Awareness - Video - 7.8-9.30,Strategy Campaigns FY26,0,0,0,0,0,0,0,403,750,655,822,892,931,929,867,937,904,962,1108,1024,973,1049,945,862,876,937,1108,954,1494,2509,2031,4249,4425,4185,4394,4154,4336,4562,4014,4680,4817,4615,4713,4316,4450,4221,4339,4045,4213,3944,3986,3899,3994,3785,3455,3594,3832,3804,3787,4078,4249,4313,3718,3667,4162,4165,3922,4316,4076,3919,3603,3676,3815,3975,4003,3975,3706,3544,3413,3332,3306,3695,3737,3533,3787,3653,3511,3278,3136,3477,3180,3424,215,62,22,50,22,17,17,17,17,8,3,11,6,14,6,8,3,3,6,6,8,3,8,3,8,3,0,0,3,0,0,0,6,0,3,0,6,3,3,0,0,3,3,6,6,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
UCM - Tony Awards - 6.5-6.9,Strategy Campaigns FY26,6736,8347,7511,6862,7197,8509,6288,6674,255,249,151,165,120,123,95,59,84,70,70,67,50,34,36,39,20,20,28,31,25,14,28,48,48,31,17,28,11,17,39,20,20,6,11,28,14,14,8,20,14,14,8,8,3,6,6,8,6,3,6,6,8,6,3,3,11,3,8,6,8,0,3,3,0,3,11,0,3,3,8,3,3,3,0,8,3,0,8,3,3,6,6,0,8,3,0,3,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCM - Demand Gen - WTM - Huaiyiang - 12.15.2025 - 12.25.2025,Strategy Campaigns FY26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2145,5712,5698,5262,5248,5315,5575,5024,5337,4747,4394,526,159,120,78,62,36
research-impact,Strategy Campaigns FY26,0,0,0,3,0,0,36,76,115,308,171,143,143,207,131,154,140,171,126,140,213,157,162,492,115,84,101,131,145,129,115,115,120,126,162,157,213,246,182,187,103,151,207,255,269,252,218,148,190,157,126,165,187,120,95,159,145,137,101,137,120,106,246,229,229,165,140,162,115,243,207,241,165,151,154,154,266,238,255,257,193,137,179,182,143,162,260,255,143,117,90,73,207,218,361,274,171,257,201,196,291,213,185,171,229,249,171,190,173,162,162,176,213,173,179,140,213,199,263,168,143,165,157,168,159,145,162,179,213,187,190,131,171,151,187,98,87,115,123,109,70,117,87,90,87,87,73,62,134,92,101,92,103,806,95,137,92,159,148,120,129,126,109,126,103,78,84,73,129,112,101,112,81,84,123,162,165,101,129,90,103,103,117,95
UCM - Work That Matters Awareness - Video - 7.18-9.30 [PAUSED],Strategy Campaigns FY26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,859,1049,993,1071,1136,1220,1186,1166,1130,1329,741,53,53,25,22,20,11,14,20,17,11,14,6,6,3,6,6,6,3,0,3,0,0,0,3,6,0,6,3,0,3,0,3,0,0,0,3,0,3,0,0,3,0,0,6,6,3,0,0,6,0,3,3,0,0,0,0,0,0,0,0,6,0,0,6,11,3,3,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCM - Podcast - S2 E7 -  Stress - 6.20-7.20,Strategy Campaigns FY26,501,509,624,540,492,565,568,604,610,492,540,568,593,657,610,632,663,573,627,674,17,8,14,6,11,6,8,0,6,3,3,3,6,8,3,6,3,6,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCM - Youtube Shorts - 10.1-1.31,Strategy Campaigns FY26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,28,8,48,48,36,45,34,22,31,34,20,31,42,34,25,8,17,42,8,34,36,17,20,34,25,20,36,36,25,39,56,48,53,34,50,45,45,20,36,67,90,76,59,59,59,90,59,42,42,59,42,62,50,53,50,56,50,39,48,56,48,59,67,56,36,28,50,42,59,39,39,59,48,39,20,64,73,25,70,59,70,70,62,73,81,87,76,62,76,84,53
UCM - AI Horizons Display & Video - 9.11.25 - 9.14.25,Strategy Campaigns FY26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,255,241,227,17,14,8,6,3,0,3,3,3,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCM - Work That Matters Awareness - Display - 7.8-9.30,Strategy Campaigns FY26,0,0,0,0,0,0,0,3,8,3,0,8,3,0,3,8,3,8,8,8,6,11,11,8,8,3,8,6,14,20,3,6,17,25,25,6,14,6,11,14,11,8,14,6,8,20,17,20,14,8,8,11,25,11,8,11,3,17,3,6,3,3,22,17,14,17,6,0,22,11,14,8,11,11,20,11,14,11,6,14,14,6,14,11,6,8,11,11,17,14,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCM - Podcast - S2 E6 - Game Theory Pt. 2 - 6.5-7.5,Strategy Campaigns FY26,176,123,185,145,151,6,8,6,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
