Session campaign,Session source,Session medium,Session manual ad content,Total users,Engagement rate,Average session duration,Total users,Engagement rate,Average session duration
UCM - Work That Matters Awareness - Video - 7.8-9.30,google,cpc,(not set),258174,0.13557864139582823,152.48696576175354,258174,0.13557864139582823,152.48696576175354
UCM - Tony Awards - 6.5-6.9,google,cpc,(not set),56555,0.5936894114703859,156.0866781472489,56555,0.5936894114703859,156.0866781472489
UCM - Demand Gen - WTM - Huaiyiang - 12.15.2025 - 12.25.2025,google,cpc,(not set),53755,0.18097357157415586,196.34439997548546,53755,0.18097357157415586,196.34439997548546
UCM - Work That Matters Awareness - Video - 7.18-9.30 [PAUSED],google,cpc,(not set),12280,0.3671544232340489,106.42741972241046,12280,0.3671544232340489,106.42741972241046
UCM - Podcast - S2 E7 -  Stress - 6.20-7.20,google,cpc,(not set),10873,0.31063728598604945,82.71330567559819,10873,0.31063728598604945,82.71330567559819
research-impact,spotify,audio,general_poli,9519,0.288031863221294,133.336704437356,9519,0.288031863221294,133.336704437356
research-impact,li,video,general_cmu,5477,0.15110872675250359,17.66741397134927,5477,0.15110872675250359,17.66741397134927
UCM - Youtube Shorts - 10.1-1.31,google,cpc,(not set),4157,0.1192387067186425,89.77307834833121,4157,0.1192387067186425,89.77307834833121
research-impact,stackadapts,display,general_ble,3919,0.20378806041716616,39.59416464450587,3919,0.20378806041716616,39.59416464450587
research-impact,li,video,general_ble,1986,0.1264591439688716,66.2181985871503,1986,0.1264591439688716,66.2181985871503
research-impact,pbt,display,general_pgh,1801,0.3288409703504043,36.32783725992102,1801,0.3288409703504043,36.32783725992102
research-impact,axios,text,general_cmu,1337,0.3879485443466486,105.23513733906904,1337,0.3879485443466486,105.23513733906904
research-impact,che,display,general_cmu,1203,0.5654664484451718,29.721101163259725,1203,0.5654664484451718,29.721101163259725
UCM - AI Horizons Display & Video - 9.11.25 - 9.14.25,google,cpc,(not set),1013,0.44347063978965817,314.6490787764089,1013,0.44347063978965817,314.6490787764089
