Month,Week,Campaign,Ad state,Ad type,Final URL,Beacon URLs,Headline,Long headline,Long headline 1,Long headline 2,Long headline 3,Long headline 4,Long headline 5,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Description 5,Image ID,Square image ID,Logo ID,Landscape logo ID,Business name,Video,Call to action text,Call to action text 1,Call to action text 2,Call to action text 3,Call to action text 4,Call to action text 5,Call to action headline,Video ID,Companion banner,Accent color,Main color,Allow flexible color,Ad format preference,Promotion text,Price prefix,Enable Asset Enhancements,Enable Autogen Video,Ad name,Display URL,Path 1,Path 2,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Impr.,Currency code,Avg. CPC,TrueView views,TrueView view rate,Clicks,CTR,Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%
Dec-23,12/18/2023,UCM - Anthem Campaign (Awareness) - 12.20.2023 - 7.31.2024,Paused,Responsive video ad,http://cmu.edu,--,--,--,Where What If Becomes What Next,--,--,--,--,CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,CMU challenges the curious & passionate to deliver work that matters.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Learn more,--,--,--,--,--,117927907299; 117927907302; 117927907305,--,--,--,--,--,--,--,--,--,Ad #1,--,--,--,,--,--,,"4,826",USD,1.89,"1,431",29.65%,12,0.25%,57.51%,39.25%,34.43%,32.34%
Dec-23,12/25/2023,UCM - Anthem Campaign (Awareness) - 12.20.2023 - 7.31.2024,Paused,Responsive video ad,http://cmu.edu,--,--,--,Where What If Becomes What Next,--,--,--,--,CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,CMU challenges the curious & passionate to deliver work that matters.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Learn more,--,--,--,--,--,117927907299; 117927907302; 117927907305,--,--,--,--,--,--,--,--,--,Ad #1,--,--,--,,--,--,,"18,046",USD,6.75,"3,628",20.10%,11,0.06%,46.88%,30.80%,26.90%,25.13%
Jan-24,1/1/2024,UCM - Anthem Campaign (Awareness) - 12.20.2023 - 7.31.2024,Paused,Responsive video ad,http://cmu.edu,--,--,--,Where What If Becomes What Next,--,--,--,--,CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,CMU challenges the curious & passionate to deliver work that matters.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Learn more,--,--,--,--,--,117927907299; 117927907302; 117927907305,--,--,--,--,--,--,--,--,--,Ad #1,--,--,--,,--,--,,"20,750",USD,6.14,"2,956",14.25%,11,0.05%,30.62%,21.18%,18.56%,17.22%
Jan-24,1/8/2024,UCM - Anthem Campaign (Awareness) - 12.20.2023 - 7.31.2024,Paused,Responsive video ad,http://cmu.edu,--,--,--,Where What If Becomes What Next,--,--,--,--,CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,CMU challenges the curious & passionate to deliver work that matters.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Learn more,--,--,--,--,--,117927907299; 117927907302; 117927907305,--,--,--,--,--,--,--,--,--,Ad #1,--,--,--,,--,--,,"2,714",USD,8.19,394,14.52%,1,0.04%,29.98%,22.20%,20.30%,18.79%
Jan-24,1/15/2024,UCM - Anthem Campaign (Awareness) - 12.20.2023 - 7.31.2024,Paused,Responsive video ad,http://cmu.edu,--,--,--,Where What If Becomes What Next,--,--,--,--,CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,CMU challenges the curious & passionate to deliver work that matters.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Learn more,--,--,--,--,--,117927907299; 117927907302; 117927907305,--,--,--,--,--,--,--,--,--,Ad #1,--,--,--,,--,--,,4,USD,0,1,25.00%,0,0.00%,50.00%,25.00%,25.00%,25.00%
Jan-24,1/22/2024,UCM - Anthem Campaign (Awareness) - 12.20.2023 - 7.31.2024,Paused,Responsive video ad,http://cmu.edu,--,--,--,Where What If Becomes What Next,--,--,--,--,CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,CMU challenges the curious & passionate to deliver work that matters.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Learn more,--,--,--,--,--,117927907299; 117927907302; 117927907305,--,--,--,--,--,--,--,--,--,Ad #1,--,--,--,,--,--,,14,USD,0,4,28.57%,0,0.00%,50.00%,41.67%,41.67%,33.33%
Jan-24,1/29/2024,UCM - Anthem Campaign (Awareness) - 12.20.2023 - 7.31.2024,Paused,Responsive video ad,http://cmu.edu,--,--,--,Where What If Becomes What Next,--,--,--,--,CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,CMU challenges the curious & passionate to deliver work that matters.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Learn more,--,--,--,--,--,117927907299; 117927907302; 117927907305,--,--,--,--,--,--,--,--,--,Ad #1,--,--,--,,--,--,,5,USD,0,2,40.00%,0,0.00%,66.67%,66.67%,66.67%,66.67%
Jan-24,1/8/2024,UCM - Anthem Campaign (Awareness) - 12.20.2023 - 7.31.2024,Paused,Responsive video ad,http://cmu.edu,--,--,--,Where What If Becomes What Next,--,--,--,--,CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,CMU challenges the curious & passionate to deliver work that matters.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Learn more,--,--,--,--,--,117927907299; 117927907302; 117927907305,--,--,--,--,--,--,--,--,--,Ad #1,--,--,--,,--,--,,"18,692",USD,2.63,"1,799",9.62%,16,0.09%,34.16%,23.82%,18.98%,15.57%
Jan-24,1/15/2024,UCM - Anthem Campaign (Awareness) - 12.20.2023 - 7.31.2024,Paused,Responsive video ad,http://cmu.edu,--,--,--,Where What If Becomes What Next,--,--,--,--,CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,CMU challenges the curious & passionate to deliver work that matters.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Learn more,--,--,--,--,--,117927907299; 117927907302; 117927907305,--,--,--,--,--,--,--,--,--,Ad #1,--,--,--,,--,--,,"18,362",USD,4.55,"2,520",13.72%,11,0.06%,45.46%,29.84%,24.63%,20.75%
Jan-24,1/22/2024,UCM - Anthem Campaign (Awareness) - 12.20.2023 - 7.31.2024,Paused,Responsive video ad,http://cmu.edu,--,--,--,Where What If Becomes What Next,--,--,--,--,CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,CMU challenges the curious & passionate to deliver work that matters.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Learn more,--,--,--,--,--,117927907299; 117927907302; 117927907305,--,--,--,--,--,--,--,--,--,Ad #1,--,--,--,,--,--,,"21,179",USD,3.97,"2,772",13.09%,14,0.07%,43.58%,29.48%,24.29%,20.33%
